@relation train

@attribute u0 numeric
@attribute u1 numeric
@attribute u2 numeric
@attribute u3 numeric
@attribute u4 numeric
@attribute u6 numeric
@attribute u7 numeric
@attribute u8 numeric
@attribute u12 numeric
@attribute u14 numeric
@attribute u15 numeric
@attribute u16 numeric
@attribute u24 numeric
@attribute u28 numeric
@attribute u30 numeric
@attribute u31 numeric
@attribute u32 numeric
@attribute u48 numeric
@attribute u56 numeric
@attribute u60 numeric
@attribute u62 numeric
@attribute u63 numeric
@attribute u64 numeric
@attribute u96 numeric
@attribute u112 numeric
@attribute u120 numeric
@attribute u124 numeric
@attribute u126 numeric
@attribute u127 numeric
@attribute u128 numeric
@attribute u129 numeric
@attribute u131 numeric
@attribute u135 numeric
@attribute u143 numeric
@attribute u159 numeric
@attribute u191 numeric
@attribute u192 numeric
@attribute u193 numeric
@attribute u195 numeric
@attribute u199 numeric
@attribute u207 numeric
@attribute u223 numeric
@attribute u224 numeric
@attribute u225 numeric
@attribute u227 numeric
@attribute u231 numeric
@attribute u239 numeric
@attribute u240 numeric
@attribute u241 numeric
@attribute u243 numeric
@attribute u247 numeric
@attribute u248 numeric
@attribute u249 numeric
@attribute u251 numeric
@attribute u252 numeric
@attribute u253 numeric
@attribute u254 numeric
@attribute u255 numeric
@attribute unull numeric
@attribute emotion {ANGRY,DISTINGUISH,FEAR,HAPPY,NEUTRAL,SAD,SUPRISED}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,53,30,14,24,14,11,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,20,17,22,21,37,35,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,ANGRY
1,2,6,9,7,3,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,ANGRY
1,1,6,15,14,1,2,2,2,2,0,1,1,0,2,1,0,0,1,1,0,1,1,0,3,1,1,4,2,2,1,2,5,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,16,19,46,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,45,21,23,23,13,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,ANGRY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,35,24,17,15,19,18,13,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,ANGRY
